"title","genre","runtime","mpaa_rating","thtr_rel_year","thtr_rel_month","thtr_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_score"
"Taking Lives","Drama",103,"R",2004,3,19,6.2,63511,"Rotten",22,55
"The Illusionist (L'illusionniste)","Drama",80,"PG",2010,12,25,7.5,27601,"Certified Fresh",90,79
"Titanic","Drama",194,"PG-13",1997,12,19,7.7,756602,"Certified Fresh",88,69
"The Tillman Story","Documentary",94,"R",2010,8,20,7.8,3998,"Certified Fresh",93,91
"To The Wonder","Drama",112,"R",2013,4,12,6,19898,"Rotten",46,38
"Snow Angels","Drama",107,"R",2007,1,19,6.9,10786,"Fresh",68,67
"Mrs. Dalloway","Drama",97,"PG-13",1998,2,20,6.9,2857,"Fresh",71,58
"F for Fake","Documentary",89,"Unrated",1974,9,1,7.8,9675,"Certified Fresh",88,89
"Saving Face","Drama",91,"R",2005,5,27,7.6,7545,"Certified Fresh",87,88
"The Jerky Boys","Comedy",82,"R",1995,2,3,4.5,2113,"Rotten",9,52
"The Unbelievable Truth","Drama",90,"R",1990,6,1,7.5,3448,"Fresh",100,89
"Article 99","Drama",100,"R",1992,3,13,6,2441,"Rotten",46,55
"Great Balls of Fire","Drama",108,"PG-13",1989,6,30,6.2,12402,"Fresh",63,53
"Condorman","Action & Adventure",90,"PG",1981,8,7,5.7,3373,"Rotten",25,65
"Man of the House","Comedy",96,"PG",1995,3,3,4.9,6322,"Rotten",14,33
"Broken","Documentary",91,"Unrated",2013,7,19,7.3,9906,"Fresh",63,74
"The Big Red One","Drama",113,"PG",1980,5,28,7.2,15025,"Certified Fresh",91,78
"Mighty Aphrodite","Comedy",95,"R",1995,10,27,7.1,30826,"Fresh",77,73
"Captain Phillips","Drama",134,"PG-13",2013,10,11,7.9,309896,"Certified Fresh",93,89
"Amityville II: The Possession","Horror",104,"R",1982,9,24,5.4,7284,"Rotten",7,35
"The Long Kiss Goodnight","Mystery & Suspense",121,"R",1996,10,11,6.7,58907,"Fresh",67,70
"Fool's Gold","Action & Adventure",112,"PG-13",2008,2,8,5.6,57251,"Rotten",11,48
"Doogal","Animation",85,"G",2006,2,24,2.8,3790,"Rotten",8,18
"Bait","Drama",119,"R",2000,9,15,5.7,8818,"Rotten",26,41
"Body of Evidence","Mystery & Suspense",99,"R",1992,6,1,4.3,11125,"Rotten",6,22
"The Hunger Games","Drama",142,"PG-13",2012,3,23,7.3,675907,"Certified Fresh",84,81
"Hell's Kitchen N.Y.C.","Drama",95,"R",1999,12,31,4.9,2120,"Rotten",40,35
"The Lake House","Drama",99,"PG",2006,6,16,6.8,111132,"Rotten",35,73
"In the Name of the Father","Drama",133,"R",1993,12,29,8.1,103378,"Certified Fresh",94,95
"Desperate Measures","Drama",100,"R",1997,6,1,6.1,13682,"Rotten",17,37
"The Invasion","Mystery & Suspense",99,"PG-13",2007,8,17,5.9,63672,"Rotten",19,40
"Eye of the Needle","Drama",112,"R",1981,7,24,7.1,6946,"Fresh",85,72
"Funny Lady","Drama",136,"PG",1975,3,7,6.4,3584,"Rotten",38,55
"Alvin and the Chipmunks","Animation",92,"PG",2007,12,14,5.3,54363,"Rotten",27,65
"Pina","Musical & Performing Arts",103,"PG",2011,12,23,7.7,11197,"Certified Fresh",95,81
"Capote","Drama",114,"R",2005,9,30,7.4,96787,"Certified Fresh",90,81
"Dead Men Don't Wear Plaid","Mystery & Suspense",88,"PG",1982,5,21,6.8,16366,"Fresh",77,73
"Tarzan","Drama",88,"G",1999,6,16,7.2,134270,"Certified Fresh",88,74
"Cocoon: The Return","Drama",116,"PG",1988,11,23,5.2,11657,"Rotten",36,35
"Death Defying Acts","Drama",97,"PG",2008,7,11,5.9,8345,"Rotten",44,26
"Half Baked","Comedy",82,"R",1998,1,16,6.7,46794,"Rotten",29,81
"Dance of the Dead","Action & Adventure",87,"R",2008,3,9,5.9,10087,"Fresh",80,52
"Around the World in 80 Days","Action & Adventure",120,"PG",2004,6,16,5.8,66054,"Rotten",31,34
"LOL","Comedy",97,"PG-13",2012,5,4,4.2,43574,"Rotten",17,51
